Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 13:12:53, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 13:13:18, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 13:40:40, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 13:46:30, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 13:47:31, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 13:52:19, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 13:54:24, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 13:55:30, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 13:59:48, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:00:23, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:01:56, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:03:03, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:08:50, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:11:04, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:11:48, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:12:57, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:15:56, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:17:04, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:17:27, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:17:42, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:18:04, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:29:19, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:31:07, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:32:56, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:35:00, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:39:04, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:43:07, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:44:24, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:45:00, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 14:46:53, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 15:33:30, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 15:34:05, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 15:34:58, Time in: 09:00 AM, Time out:05:00 PM
Attentance ID: 1, Employee ID: 2, Start Date: 2024-12-16 15:36:08, Time in: 09:00 AM, Time out:05:00 PM
